Number  ,Present,Past,P.P
1,arise,arose,arisen
2,awake,awoke,awoken
3,bear,bore,borne/born
4,beat,beat,beaten
5,become,became,become
6,begin,began,begun
7,bend,bent,bent
8,bet,bet,bet
9,bid,bid,bid
10,bind,bound,bound
11,bite,bit,bitten
12,bleed,bled,bled
13,blow,blew,blown
14,break,broke,broken
15,bring,brought,brought
16,build,built,built
17,burst,burst,burst
18,buy,bought,bought
19,catch,caught,caught
20,choose,chose,chosen
21,come,came,come
22,cost,cost,cost
23,cut,cut,cut
24,deal,dealt,dealt
25,dig,dug,dug
26,do,did,done
27,draw,drew,drawn
28,drive,drove,driven
29,eat,ate,eaten
30,fall,fell,fallen
31,feed,fed,fed
32,feel,felt,felt
33,fight,fought,fought
34,find,found,found
35,fly,flew,flown
36,forget,forgot,forgotten
37,forgive,forgave,forgiven
38,freeze,froze,frozen
39,get,got,gotten/got
40,give,gave,given
41,go,went,gone
42,grow,grew,grown
43,hang,hung,hung
44,hear,heard,heard
45,hide,hid,hidden
46,hit,hit,hit
47,hold,held,held
48,hurt,hurt,hurt
49,keep,kept,kept
50,know,knew,known
51,lay,laid,laid
52,lead,led,led
53,leave,left,left
54,lend,lent,lent
55,let,let,let
56,lie,lay,lain
57,lose,lost,lost
58,make,made,made
59,mean,meant,meant
60,meet,met,met
61,pay,paid,paid
62,put,put,put
63,read,read,read
64,ride,rode,ridden
65,ring,rang,rung
66,rise,rose,risen
67,run,ran,run
68,say,said,said
69,see,saw,seen
70,sell,sold,sold
71,send,sent,sent
72,set,set,set
73,shake,shook,shaken
74,shine,shone,shone
75,shoot,shot,shot
76,show,showed,shown
77,shut,shut,shut
78,sing,sang,sung
79,sink,sank,sunk
80,sit,sat,sat
81,sleep,slept,slept
82,speak,spoke,spoken
83,spend,spent,spent
84,stand,stood,stood
85,steal,stole,stolen
86,stick,stuck,stuck
87,strike,struck,struck/striken
88,swim,swam,swum
89,take,took,taken
90,teach,taught,taught
91,tear,tore,torn
92,tell,told,told
93,think,thought,thought
94,throw,threw,thrown
95,understand,understood,understood
96,wake,woke,woken
97,wear,wore,worn
98,win,won,won
99,write,wrote,written
